Tag type: postag

çekmeden 1 < 31 , 1 > 
balerinler 1 < 9 , 1 > 
seçimlerde 1 < 9 , 1 > 
üşümüyorum 1 < 37 , 1 > 
bağımlılarının 1 < 20 , 1 > 
mermer 1 < 21 , 1 > 
performansları 1 < 9 , 1 > 
kahkaha 1 < 9 , 1 > 
sevip 1 < 31 , 2 > 
verilmemesi 1 < 12 , 2 > 
yatıştırmalarıyla 1 < 12 , 1 > 
topraklara 1 < 9 , 1 > 
romandı 1 < 37 , 1 > 
terbiye 1 < 9 , 1 > 
ekmeğe 1 < 9 , 1 > 
ulaşmış 1 < 37 , 2 > 
partilerin 1 < 9 , 1 > 
atlamıştır 1 < 37 , 1 > 
yargıtay'a 1 < 19 , 2 > 
muhtemel 1 < 21 , 1 > 
tövbe 1 < 9 , 1 > 
saatin 1 < 9 , 1 > 
işsizliği 1 < 9 , 1 > 
öykümün 1 < 9 , 1 > 
mikrofon 1 < 9 , 2 > 
hazırdır 1 < 37 , 1 > 
arzusunun 1 < 9 , 1 > 
incelemenin 1 < 12 , 1 > 
dokunmaktan 1 < 12 , 1 > 
ağırbaşlı 1 < 21 , 1 > 
bastıralar 1 < 37 , 1 > 
düşünemiyorum 1 < 37 , 1 > 
bastığı 1 < 14 , 1 > 
yönetecek 1 < 37 , 1 > 
i̇çmişsin 1 < 37 , 1 > 
hristiyanlaştırma 1 < 12 , 1 > 
belirten 1 < 11 , 7 > 
ayşe_canatan 1 < 19 , 1 > 
kalkması 1 < 12 , 1 > 
i̇yice 1 < 31 , 2 > 
sıçratan 1 < 11 , 1 > 
bulmuş 1 < 37 , 1 > 
hükümden 1 < 9 , 1 > 
paragrafın 1 < 9 , 1 > 
doldururuz 1 < 37 , 1 > 
yükseltiyor 1 < 37 , 1 > 
dokuz 2 < 20 , 1 > < 1 , 5 > 
diğerleri 1 < 20 , 3 > 
ideolojide 1 < 9 , 1 > 
teoriyi 1 < 9 , 1 > 
kaleme_aldığı 1 < 14 , 1 > 
başınıza_gelmedi 1 < 37 , 1 > 
on'unu 1 < 20 , 1 > 
yatağına 1 < 9 , 1 > 
girdiğini 1 < 15 , 1 > 
çobanlığını 1 < 9 , 1 > 
keder 1 < 9 , 1 > 
dişlerinden 1 < 9 , 1 > 
nesne 1 < 9 , 2 > 
benzeştikçe 1 < 31 , 1 > 
bulunuyor 1 < 37 , 2 > 
gazetelere 1 < 9 , 1 > 
dükkandan 1 < 9 , 1 > 
yura 1 < 9 , 3 > 
gazeteleri 1 < 9 , 2 > 
sevme 1 < 12 , 1 > 
gelişemeden 1 < 31 , 1 > 
havalıydı 1 < 37 , 1 > 
meyve 1 < 9 , 1 > 
olayların 1 < 9 , 1 > 
grossman 1 < 19 , 1 > 
ödümü 1 < 9 , 1 > 
seven 1 < 11 , 3 > 
dinlerdim 1 < 37 , 1 > 
teslim_ettiniz 1 < 37 , 1 > 
sakinleştirmişti 1 < 37 , 1 > 
sever 1 < 37 , 4 > 
göz_önüne_almamış 1 < 37 , 1 > 
ilçesinde 1 < 9 , 1 > 
insanca 1 < 21 , 1 > 
önlük 1 < 9 , 1 > 
tamamlar 1 < 37 , 1 > 
tezgahtan 1 < 9 , 1 > 
süzüldü 1 < 37 , 1 > 
ortaya_çıkmasıyla 1 < 12 , 1 > 
ödülü 1 < 9 , 1 > 
bakıyorlar 1 < 37 , 1 > 
anlatmayacaktım 1 < 37 , 1 > 
ağabeyisi 1 < 9 , 1 > 
vermedi 1 < 37 , 1 > 
ceketinin 1 < 9 , 1 > 
belirtip 1 < 31 , 2 > 
anlayacaklarından 1 < 17 , 1 > 
sunabilirler 1 < 37 , 1 > 
kardeşine 1 < 9 , 1 > 
tasarılar 1 < 9 , 1 > 
kapusuz 1 < 19 , 1 > 
kıtasında 1 < 9 , 1 > 
barışın 1 < 9 , 1 > 
sevgi 1 < 9 , 9 > 
hükümdar 1 < 9 , 1 > 
biridir 1 < 37 , 2 > 
başbakan_yardımcısı_mehmet_ali_şahin 1 < 19 , 1 > 
teknoloji 1 < 9 , 6 > 
kalkmaya 1 < 12 , 2 > 
irak'a 1 < 19 , 2 > 
vermede 1 < 12 , 1 > 
benzeşiyor 1 < 37 , 1 > 
hakim 1 < 9 , 2 > 
matematik 1 < 9 , 7 > 
kızarttığı 1 < 14 , 1 > 
süleymanoğlu 1 < 19 , 1 > 
tanıştılar 1 < 37 , 1 > 
meşruti 1 < 21 , 1 > 
kalmıştı 1 < 37 , 2 > 
istisna 1 < 9 , 1 > 
göreyim 1 < 37 , 1 > 
yarattığı 1 < 14 , 3 > 
ürünlerinin 1 < 9 , 1 > 
teftiş 1 < 9 , 1 > 
madde_madde 1 < 9 , 1 > 
halinden 1 < 9 , 1 > 
thy_uçuş 1 < 37 , 1 > 
zahmetli 1 < 21 , 2 > 
ayrıntılar 1 < 9 , 2 > 
terk_etmekte 1 < 12 , 1 > 
akbank 1 < 19 , 1 > 
tuhaflaşıyorsun 1 < 37 , 1 > 
taşınma 1 < 12 , 1 > 
banyo 1 < 9 , 1 > 
merdivenden 1 < 9 , 1 > 
restoran_cevat'a 1 < 19 , 1 > 
onuc_aralık_ikibiniki 1 < 1 , 1 > 
terk_edivermişti 1 < 37 , 1 > 
yuva 1 < 9 , 3 > 
erkekler_parkı'nın 1 < 19 , 1 > 
kazan 1 < 9 , 2 > 
yerini 1 < 9 , 7 > 
vb. 1 < 9 , 1 > 
yerine 1 < 9 , 27 > 
tadını 1 < 9 , 3 > 
kobi̇'ler 1 < 19 , 1 > 
oluşturmuş 1 < 37 , 1 > 
siraküza'yı 1 < 19 , 1 > 
planlıyordu 1 < 37 , 1 > 
izin_verirsin 1 < 37 , 1 > 
yargılaması 1 < 12 , 1 > 
yükseldi 1 < 37 , 1 > 
sokaklar 1 < 9 , 1 > 
etrafımızdaki 1 < 21 , 1 > 
yerime 1 < 9 , 1 > 
yakutistan'da 1 < 19 , 1 > 
var 2 < 37 , 69 > < 21 , 24 > 
dertli 1 < 20 , 2 > 
okurken 1 < 31 , 1 > 
verici 1 < 21 , 1 > 
kaptanın 1 < 9 , 1 > 
tepki 1 < 9 , 5 > 
ödenmesi 1 < 12 , 1 > 
vay 1 < 35 , 1 > 
orada_olmadığını 1 < 15 , 1 > 
sarsacak 1 < 18 , 1 > 
çabuk 1 < 31 , 2 > 
kaldırttığı 1 < 14 , 1 > 
tayyip_erdoğan'ın 1 < 19 , 3 > 
yazarsanız 1 < 37 , 1 > 
başını 1 < 9 , 10 > 
kardeşini 1 < 9 , 1 > 
kucağına 1 < 9 , 1 > 
taşındı 1 < 37 , 1 > 
ağaçlıklı 1 < 21 , 1 > 
ele_alındığı 1 < 14 , 1 > 
onaylıyorlar 1 < 37 , 1 > 
vetolu 1 < 21 , 1 > 
yaratmıştı 1 < 37 , 1 > 
kaydederek 1 < 31 , 2 > 
kölesine 1 < 9 , 1 > 
ustadır 1 < 37 , 1 > 
yüzde_elli 2 < 20 , 1 > < 1 , 2 > 
yükseliyor 1 < 37 , 1 > 
mayalanmaya 1 < 12 , 1 > 
dindiriyor 1 < 37 , 1 > 
başımı 1 < 9 , 1 > 
böyleyse 1 < 37 , 1 > 
sudan 1 < 9 , 2 > 
finansmanla 1 < 9 , 1 > 
yükselen 1 < 11 , 5 > 
aniden 1 < 31 , 2 > 
cezaevine 1 < 9 , 1 > 
duyulmaması 1 < 12 , 1 > 
torunları 1 < 9 , 1 > 
kuvvetli 1 < 21 , 1 > 
kirası 1 < 9 , 1 > 
ikincisi 1 < 20 , 3 > 
dilimlenmiş 1 < 21 , 1 > 
sandalyesini 1 < 9 , 1 > 
emmioğlu 1 < 9 , 1 > 
mihalıcık_köyü 1 < 9 , 1 > 
olabileceğini 1 < 17 , 1 > 
kulak_verelim 1 < 37 , 1 > 
olabileceğine 1 < 17 , 2 > 
pas_geçti 1 < 37 , 1 > 
böreği 1 < 9 , 1 > 
özen_göstermeleri 1 < 12 , 1 > 
bilinçli 1 < 21 , 3 > 
bağırmış 1 < 37 , 1 > 
tepem 1 < 9 , 1 > 
çocuklarımdan 1 < 9 , 1 > 
keşfettim 1 < 37 , 1 > 
bitkin 1 < 21 , 1 > 
saçılıyordu 1 < 37 , 1 > 
saptadık 1 < 37 , 1 > 
çektiği 1 < 14 , 1 > 
ver 1 < 37 , 1 > 
kıvrık 1 < 21 , 1 > 
açtık 1 < 37 , 1 > 
açtığının 1 < 15 , 1 > 
ilişkiler 1 < 9 , 1 > 
açtım 1 < 37 , 2 > 
rapor 1 < 9 , 6 > 
eğlenmeye 1 < 12 , 1 > 
i̇nanmayacaksın 1 < 37 , 1 > 
zengin 1 < 21 , 3 > 
çakmağıyla 1 < 9 , 1 > 
olmazsa_olmaz 1 < 21 , 1 > 
yıldır 1 < 31 , 4 > 
miymiş 1 < 36 , 1 > 
değilmiş 1 < 37 , 1 > 
milli_eğitim_bakanı 1 < 9 , 1 > 
salondan 1 < 9 , 1 > 
boşaltarak 1 < 31 , 1 > 
enişten 1 < 9 , 1 > 
amacımız 2 < 37 , 1 > < 9 , 1 > 
eniştem 1 < 9 , 2 > 
oydu 1 < 37 , 1 > 
zorunda_kalan 1 < 11 , 1 > 
piste 1 < 9 , 1 > 
bilmiyordu 1 < 37 , 2 > 
diyeceğin 1 < 17 , 1 > 
diyeceğim 1 < 37 , 1 > 
köşeden 1 < 9 , 1 > 
deşifresi 1 < 20 , 1 > 
zorluyorum 1 < 37 , 1 > 
alışverişin 1 < 9 , 1 > 
şaşırtır 1 < 37 , 1 > 
sektöründe 1 < 9 , 1 > 
terk_ettin 1 < 37 , 1 > 
civarda 1 < 9 , 1 > 
tibet'ten 1 < 19 , 1 > 
diyorlar 1 < 37 , 7 > 
kaptan_olduğunu 1 < 15 , 1 > 
çalışırdım 1 < 37 , 1 > 
fincan 1 < 9 , 1 > 
kadınlar 1 < 9 , 13 > 
ağabeyime 1 < 9 , 1 > 
büyükhanlı'nın 1 < 19 , 1 > 
düştüğü 2 < 15 , 1 > < 14 , 2 > 
yayımlanmıştı 1 < 37 , 1 > 
kısılmış 1 < 21 , 1 > 
denli 2 < 31 , 1 > < 21 , 2 > 
müdürün 1 < 9 , 1 > 
gelişmelerin 1 < 12 , 1 > 
çağlayan'dan 1 < 19 , 1 > 
vurmuştu 1 < 37 , 1 > 
bilsem 1 < 37 , 1 > 
harcarlar 1 < 37 , 1 > 
yapılması 1 < 12 , 4 > 
takip_etme 1 < 12 , 1 > 
ölüyormuş 1 < 37 , 1 > 
hazırlaması 1 < 12 , 1 > 
uykuya 1 < 9 , 3 > 
ucundaki 1 < 21 , 1 > 
şarkıları 1 < 9 , 1 > 
saygılı 1 < 21 , 1 > 
şarkılar 1 < 9 , 1 > 
yaptırıldı 1 < 37 , 1 > 
kaçıyor 1 < 37 , 1 > 
tartışmayı 1 < 12 , 2 > 
girerim 1 < 37 , 1 > 
efsanesi 1 < 9 , 2 > 
uçağa 1 < 9 , 2 > 
bayağılaştıkları 1 < 15 , 1 > 
yüzyıllara 1 < 9 , 1 > 
müvekkilimin 1 < 9 , 1 > 
kızarmış 1 < 21 , 1 > 
zorunda_kaldı 1 < 37 , 1 > 
yapışmış 1 < 21 , 1 > 
ursus 1 < 9 , 1 > 
gerginlik 1 < 9 , 1 > 
kulağımı 1 < 9 , 1 > 
kızağa 1 < 9 , 1 > 
birlikteliklerin 1 < 9 , 1 > 
atlatamadı 1 < 37 , 1 > 
buğulu 1 < 21 , 1 > 
kapıları 1 < 9 , 1 > 
samur 1 < 9 , 1 > 
seviyesi 1 < 9 , 1 > 
hazır_olmayan 1 < 11 , 1 > 
emaye 1 < 21 , 1 > 
oyuyla 1 < 9 , 1 > 
tıpkılarının 1 < 9 , 1 > 
avrupa'yı 1 < 19 , 1 > 
alkolsüz 1 < 21 , 1 > 
kızak 1 < 9 , 2 > 
sağyağlı 1 < 20 , 1 > 
teniste 1 < 9 , 1 > 
ilgililer 1 < 9 , 1 > 
kırlara 1 < 9 , 1 > 
reprodüksiyonlar 1 < 9 , 1 > 
dertte 1 < 9 , 1 > 
ikibinüç'te 1 < 20 , 2 > 
başlamış 2 < 37 , 6 > < 21 , 1 > 
ağzım 1 < 9 , 3 > 
metnini 1 < 9 , 1 > 
belirtti 1 < 37 , 12 > 
yemeğinde 1 < 9 , 2 > 
intihara 1 < 9 , 2 > 
savcılıktan 1 < 9 , 2 > 
yayılınca 1 < 31 , 1 > 
demedi 1 < 37 , 1 > 
girdiği 1 < 14 , 1 > 
taşıyordu 1 < 37 , 1 > 
soyutlamadan 1 < 12 , 1 > 
toplayıcılığı 1 < 9 , 1 > 
noter 1 < 9 , 1 > 
pantolonda 1 < 9 , 1 > 
koyunun 1 < 9 , 1 > 
denizli_çardak_havaalanı'na 1 < 19 , 1 > 
kendi_kendime 1 < 28 , 1 > 
sularda 1 < 9 , 1 > 
yeterliydi 1 < 37 , 1 > 
sıvazlayarak 1 < 31 , 1 > 
solunda 1 < 9 , 1 > 
sarılıyorlar 1 < 37 , 1 > 
okumasını 1 < 12 , 1 > 
yök_başkanı'nı 1 < 19 , 1 > 
kimseyle 1 < 9 , 1 > 
mahkemelerinin 1 < 9 , 1 > 
şeyleri 1 < 9 , 4 > 
hazır_ola_geçip 1 < 31 , 1 > 
aşıkları 1 < 9 , 1 > 
sayfaya 1 < 9 , 2 > 
gelişmelerini 1 < 12 , 2 > 
kalbimize 1 < 9 , 1 > 
kendi_kendine 1 < 28 , 4 > 
dolgun 1 < 21 , 2 > 
kendi_kendini 1 < 28 , 1 > 
müdahale 1 < 9 , 2 > 
oldum 1 < 37 , 1 > 
evlendiği 1 < 15 , 1 > 
söylenemezdi 1 < 37 , 1 > 
temeli 1 < 9 , 1 > 
olduk 1 < 37 , 2 > 
teknelere 1 < 9 , 1 > 
mantığımız 1 < 9 , 1 > 
maddelerde 1 < 9 , 1 > 
buket 1 < 9 , 1 > 
kardeşiz 1 < 37 , 1 > 
başlığı 1 < 9 , 3 > 
değiştirebileceğimizi 1 < 17 , 1 > 
aktan_tuncer 1 < 19 , 1 > 
kıyaslandığında 1 < 15 , 2 > 
haberi 1 < 9 , 5 > 
kardeşim 1 < 9 , 2 > 
aramış 1 < 37 , 1 > 
gibileriyle 1 < 20 , 1 > 
kitle 1 < 9 , 1 > 
yarışma 1 < 9 , 1 > 
hizmetlerden 1 < 9 , 2 > 
tartışması 1 < 12 , 2 > 
metodoljik 1 < 9 , 1 > 
oyla 1 < 9 , 3 > 
sözünü 1 < 9 , 2 > 
tebligat 1 < 9 , 1 > 
yanıtlamış 1 < 37 , 1 > 
soğuğun 1 < 20 , 1 > 
çağdaş_sanatlar_merkezi 1 < 9 , 1 > 
evlenmiş 1 < 37 , 1 > 
evli_olan 1 < 11 , 1 > 
doğrudan 1 < 21 , 3 > 
riskti 1 < 37 , 1 > 
hayır_mitingi 1 < 9 , 1 > 
biniyor 1 < 37 , 1 > 
öldüğünü 1 < 15 , 3 > 
dinliyoruz 1 < 37 , 1 > 
uçağı 1 < 9 , 5 > 
bunalman 1 < 12 , 1 > 
fazla 3 < 38 , 1 > < 31 , 5 > < 21 , 4 > 
zevk_alırız 1 < 37 , 1 > 
intiharı 1 < 9 , 1 > 
sitedeki 1 < 21 , 1 > 
konulması 1 < 12 , 1 > 
sıralarını 1 < 9 , 1 > 
tanıtma 1 < 12 , 1 > 
tamir_edemiyor 1 < 37 , 2 > 
mezeler 1 < 9 , 2 > 
ütopyama 1 < 9 , 1 > 
değerlendirildi 1 < 37 , 2 > 
ineklerin 1 < 9 , 1 > 
yaşandıkça 1 < 31 , 1 > 
tarhlarının 1 < 9 , 1 > 
i̇kincisine 1 < 20 , 1 > 
arkadaşlarına 1 < 9 , 1 > 
varılmıştı 1 < 37 , 1 > 
yoksullara 1 < 9 , 2 > 
kıtırdadığını 1 < 15 , 1 > 
kapılarını 1 < 9 , 1 > 
eyüp_fatsa 1 < 19 , 1 > 
yarışan 1 < 11 , 1 > 
yerler 2 < 37 , 1 > < 9 , 3 > 
oldun 1 < 37 , 1 > 
demiyorum 1 < 37 , 2 > 
kurtarmalıydım 1 < 37 , 1 > 
yollanmıştı 1 < 37 , 1 > 
eğilimleri 1 < 9 , 2 > 
dönsem 1 < 37 , 1 > 
partiler 1 < 9 , 3 > 
kapatsın 1 < 37 , 1 > 
evenkler 1 < 9 , 1 > 
düzeltme 1 < 12 , 1 > 
komünist 1 < 9 , 1 > 
bayağı 1 < 21 , 2 > 
tırmandı 1 < 37 , 1 > 
okumalarını 1 < 12 , 1 > 
planlarıyla 1 < 9 , 1 > 
ilkesi 1 < 9 , 4 > 
yakınlarının 1 < 9 , 1 > 
aptalca 2 < 31 , 4 > < 21 , 1 > 
anlatırım 1 < 37 , 2 > 
oysa 2 < 32 , 10 > < 31 , 5 > 
öldüğüne 1 < 15 , 2 > 
eroini 1 < 9 , 4 > 
sezer 1 < 19 , 3 > 
oradaki 1 < 21 , 2 > 
tck'nın 1 < 19 , 3 > 
pantolonla 1 < 9 , 1 > 
farklılık 1 < 9 , 2 > 
tartışmalı 1 < 20 , 1 > 
güneş'in 1 < 19 , 1 > 
sıkıştırdığı 1 < 14 , 1 > 
ağrılarını 1 < 9 , 1 > 
istedikleri 1 < 14 , 2 > 
türklerin 1 < 9 , 2 > 
davranış 1 < 12 , 1 > 
çekerken 1 < 31 , 1 > 
dinledim 1 < 37 , 2 > 
i̇lin_tur'a 1 < 19 , 1 > 
insanıyım 1 < 37 , 1 > 
beraberinde 1 < 20 , 1 > 
ineklerle 1 < 9 , 1 > 
kahvelerinde 1 < 9 , 1 > 
dokunmadan 1 < 31 , 1 > 
parmaklarını 1 < 9 , 2 > 
yürümüş 1 < 21 , 1 > 
konuştuğunuzu 1 < 15 , 1 > 
atılımlarının 1 < 9 , 1 > 
hamur 1 < 9 , 1 > 
big_bang 1 < 9 , 5 > 
ses_getirdiğini 1 < 15 , 1 > 
yanımdaki 1 < 21 , 1 > 
zorlanmaya 1 < 12 , 1 > 
ürünün 1 < 9 , 1 > 
çürütülmüş 1 < 21 , 1 > 
boyutu 1 < 9 , 1 > 
uygulanabileceğini 1 < 17 , 1 > 
bölüyor 1 < 37 , 1 > 
ikiyüzyirmiüç.yedi 1 < 5 , 1 > 
kardeşlik 1 < 9 , 2 > 
öleceğini 1 < 17 , 2 > 
eroine 1 < 9 , 3 > 
öğrencisiyle 1 < 9 , 1 > 
toplantısına 1 < 9 , 2 > 
bulduğunuz 1 < 14 , 1 > 
epeyce 1 < 31 , 1 > 
üçyüzelli_bin_doları 1 < 9 , 1 > 
teorilerin 1 < 9 , 1 > 
kızla 1 < 9 , 2 > 
stratejistlerin 1 < 9 , 1 > 
gidecek 2 < 37 , 1 > < 18 , 2 > 
düzeltip 1 < 31 , 1 > 
miskoye 2 < 19 , 1 > < 9 , 5 > 
sıraları 1 < 9 , 1 > 
birden 1 < 31 , 16 > 
rumca 1 < 19 , 1 > 
aramaların 1 < 12 , 1 > 
gerilime 1 < 9 , 1 > 
yaslandı 1 < 37 , 2 > 
çalışıyorlar 1 < 37 , 1 > 
geçti 1 < 37 , 9 > 
alınıp 1 < 31 , 1 > 
hukukçular 1 < 9 , 1 > 
girerler 1 < 37 , 1 > 
kalkışmaz 1 < 37 , 1 > 
kesilmemiş 1 < 37 , 1 > 
istemeden 1 < 31 , 1 > 
alışkanlıkla 1 < 9 , 1 > 
ordularını 1 < 9 , 1 > 
duruyordu 1 < 37 , 5 > 
beklenen 1 < 11 , 2 > 
zekalı 1 < 21 , 1 > 
oyun 1 < 9 , 4 > 
kurulu'na 1 < 19 , 1 > 
oldum_olası 1 < 21 , 1 > 
geçiş 1 < 12 , 1 > 
tencereye 1 < 9 , 1 > 
caddenin 1 < 9 , 2 > 
toplumun 1 < 9 , 3 > 
limon 1 < 9 , 1 > 
rapor'un 1 < 19 , 1 > 
kavga_ediyor 1 < 37 , 1 > 
ele_alacaklarını 1 < 9 , 1 > 
çağdaş 1 < 21 , 5 > 
hareketlerimden 1 < 9 , 1 > 
ecedir 1 < 37 , 1 > 
şirket 1 < 9 , 7 > 
yapmayı 1 < 12 , 3 > 
eroinle 1 < 9 , 3 > 
bilezik 1 < 9 , 1 > 
görülür 1 < 21 , 1 > 
zeytini 1 < 9 , 2 > 
yoksulları 1 < 9 , 1 > 
eğlenceli 1 < 20 , 1 > 
benekler 1 < 9 , 1 > 
saldırılara 1 < 9 , 1 > 
gereğine 1 < 9 , 1 > 
uygulama 1 < 9 , 5 > 
gereğini 1 < 9 , 1 > 
koruyan 1 < 11 , 1 > 
duygusunu 1 < 9 , 1 > 
ele_aldığımız 1 < 14 , 1 > 
uykuda 1 < 9 , 1 > 
arkadaşlarımı 1 < 9 , 1 > 
iyileştirdiği 1 < 14 , 1 > 
dedikleri 1 < 14 , 1 > 
çarpacaktır 1 < 37 , 1 > 
önümüzdeki 1 < 21 , 3 > 
bakabiliriz 1 < 37 , 1 > 
incelememiz 1 < 12 , 1 > 
özelliktir 1 < 37 , 1 > 
allahaşkına 1 < 9 , 1 > 
olasılığıyla 1 < 9 , 1 > 
istemedim 1 < 37 , 1 > 
duygusal 1 < 21 , 6 > 
görüştü 1 < 37 , 1 > 
çevresinin 1 < 9 , 1 > 
dökülüyor 1 < 37 , 1 > 
toplamış 1 < 37 , 1 > 
donuk 1 < 21 , 3 > 
yapması 1 < 12 , 2 > 
insansız 1 < 21 , 1 > 
yapmaya 2 < 37 , 1 > < 12 , 4 > 
işadamları 1 < 9 , 1 > 
haddini 1 < 9 , 1 > 
röportajındaki 1 < 21 , 1 > 
ufaklık 1 < 9 , 2 > 
tellerinde 1 < 9 , 1 > 
yaratma 1 < 12 , 1 > 
aşka 1 < 9 , 3 > 
bakış 1 < 12 , 2 > 
üstünüzde 1 < 9 , 1 > 
sırasıyla 1 < 9 , 1 > 
atılarak 1 < 31 , 1 > 
yaşamıştık 1 < 37 , 1 > 
depoda 1 < 9 , 3 > 
güç_bela 1 < 9 , 1 > 
içmiş 1 < 37 , 1 > 
maddesi 1 < 9 , 2 > 
gömleği 1 < 9 , 1 > 
ağladı 1 < 37 , 1 > 
beş_parasız 1 < 21 , 1 > 
fayton 1 < 9 , 1 > 
iri_iri 1 < 21 , 1 > 
üşümemek 1 < 12 , 1 > 
derinden_derine 1 < 20 , 1 > 
göstermiyordu 1 < 37 , 1 > 
tanıklar 1 < 9 , 1 > 
düşünmemiştim 1 < 37 , 3 > 
öldürüldüğü 1 < 14 , 1 > 
lezzet 1 < 9 , 2 > 
şıp 1 < 9 , 1 > 
şık 1 < 21 , 4 > 
oyunuyla 1 < 9 , 1 > 
geçme 1 < 37 , 1 > 
soruşturmasında 1 < 12 , 1 > 
yarışamayacağını 1 < 17 , 1 > 
esprili 1 < 21 , 1 > 
ılıktı 1 < 37 , 1 > 
dinliyordu 1 < 37 , 1 > 
kurtulsun 1 < 37 , 1 > 
sevmemden 1 < 12 , 1 > 
şikayet_etmiş 1 < 37 , 1 > 
itiraz 1 < 9 , 1 > 
evrendeki 1 < 21 , 2 > 
kabaklık 1 < 9 , 1 > 
denizdeki 1 < 21 , 1 > 
kapatılır 1 < 37 , 2 > 
bindokuzyuzdoksandokuz 1 < 1 , 1 > 
götürebilmesi 1 < 12 , 1 > 
yürüdü 1 < 37 , 1 > 
yanlış_olduğunu 1 < 15 , 1 > 
katılacağız 1 < 37 , 1 > 
kaliteli 1 < 21 , 1 > 
tanımladığımız 1 < 14 , 1 > 
başlarsınız 1 < 37 , 1 > 
tanıkların 1 < 9 , 1 > 
halbuki 1 < 32 , 2 > 
vicahiye 1 < 20 , 1 > 
maddede 1 < 9 , 3 > 
görüşme 1 < 9 , 1 > 
vaktiydi 1 < 37 , 1 > 
levent_azadi 1 < 19 , 1 > 
dallarının 1 < 9 , 1 > 
milletle 1 < 9 , 1 > 
kumlar 1 < 9 , 1 > 
potansiyelden 1 < 9 , 1 > 
doruğa 1 < 9 , 1 > 
sekizyüzseksen 1 < 1 , 1 > 
karadeniz'e 1 < 19 , 1 > 
açılmıştı 1 < 37 , 3 > 
yeni_i̇hale_kanunu'ndaki 1 < 21 , 1 > 
kasabalarında 1 < 9 , 1 > 
technologies'in 1 < 19 , 1 > 
kısım 1 < 9 , 1 > 
ısrar_edeceklerini 1 < 17 , 1 > 
süper 1 < 21 , 2 > 
yetiştirilmeye 1 < 12 , 1 > 
ayhan_işık'ın 1 < 19 , 1 > 
masadan 1 < 9 , 3 > 
abd'nin 1 < 19 , 6 > 
kulağıma 1 < 9 , 1 > 
kullanılan 1 < 11 , 3 > 
fincanla 1 < 9 , 1 > 
duvara 1 < 9 , 1 > 
ikiyüzelli 1 < 1 , 2 > 
geçip 1 < 31 , 3 > 
birisine 1 < 25 , 1 > 
doğrudur 1 < 37 , 1 > 
dorukları 1 < 19 , 1 > 
hazırlığı 1 < 9 , 1 > 
bildirdi 1 < 37 , 8 > 
örneğini 1 < 9 , 1 > 
sürdürülen 1 < 11 , 1 > 
getirmeye 1 < 12 , 1 > 
papalık 1 < 9 , 1 > 
deneysel 1 < 21 , 1 > 
açmayacağıma 1 < 17 , 1 > 
getirmeyi 1 < 12 , 1 > 
yanlışlanabilirliği 1 < 9 , 1 > 
rejime 1 < 9 , 1 > 
çoğaltmış 1 < 37 , 1 > 
telefon_ettim 1 < 37 , 2 > 
sürecin 1 < 9 , 5 > 
yarışta 1 < 9 , 1 > 
tabanları 1 < 9 , 1 > 
yetişkin 1 < 21 , 1 > 
omzunun 1 < 9 , 1 > 
iyileştiniz 1 < 37 , 1 > 
ilaçlar 1 < 9 , 1 > 
kitap 1 < 9 , 2 > 
ankara_asliye_hukuk_mahkemesi'ndeki 1 < 21 , 1 > 
rakıcının 1 < 9 , 1 > 
krizmalarıyla 1 < 9 , 1 > 
saatlerde 1 < 9 , 1 > 
dolduruluyordu 1 < 37 , 1 > 
dinlenirsiniz 1 < 37 , 1 > 
savlarının 1 < 9 , 1 > 
buyrun 1 < 37 , 2 > 
teorinin 1 < 9 , 1 > 
girerek 1 < 31 , 1 > 
test_edilebileceğini 1 < 17 , 1 > 
soluklanmam 1 < 12 , 1 > 
raporlar 1 < 9 , 2 > 
izinin 1 < 9 , 1 > 
dikkat_çekiciydi 1 < 37 , 1 > 
maddelerle 1 < 9 , 1 > 
uykumu 1 < 9 , 1 > 
söylemişti 1 < 37 , 2 > 
olmadıkları 1 < 14 , 1 > 
saatlerce 1 < 31 , 2 > 
kimsem 1 < 9 , 1 > 
eğlenceye 1 < 9 , 1 > 
bayat_mayat 1 < 9 , 1 > 
kap_kacaktır 1 < 37 , 1 > 
kültürün 1 < 9 , 2 > 
çekingen 1 < 21 , 1 > 
gereksinimlerinin 1 < 9 , 1 > 
vaktiyle 1 < 9 , 1 > 
viski 1 < 9 , 10 > 
politzer 1 < 9 , 2 > 
hangi 1 < 21 , 8 > 
gelebilmek 1 < 12 , 1 > 
çizgi 1 < 9 , 7 > 
atatürk'ün 1 < 19 , 2 > 
kafamın 1 < 9 , 1 > 
tasnif 1 < 9 , 1 > 
düzenlenen 1 < 11 , 1 > 
bayıldı 1 < 37 , 1 > 
gururu 1 < 9 , 1 > 
gama 1 < 9 , 1 > 
çektirmek 1 < 12 , 1 > 
kapılalı 1 < 31 , 1 > 
sürüyor 1 < 37 , 1 > 
şaşkındı 1 < 37 , 1 > 
seçimler 1 < 9 , 1 > 
geçer 1 < 37 , 2 > 
ilgileniyordu 1 < 37 , 1 > 
çizer 1 < 9 , 1 > 
recep_tayyip_erdoğan 1 < 19 , 1 > 
geçen 2 < 21 , 8 > < 11 , 5 > 
ilişkimiz 1 < 9 , 1 > 
aşkı 1 < 9 , 1 > 
yaramadıklarını 1 < 15 , 1 > 
bakıp 1 < 31 , 4 > 
